"full_names","kriterien"
"Kriterium 1: Nutzen","Darstellung des Nutzens: Ist der mögliche Nutzen des Verfahrens/Test/Medikaments detailliert, eindeutig und verständlich dargestellt? Bewerte das Kriterium nur dann mit 'ERFÜLLT', wenn der Nutzen mit absoluten Zahlen belegt wird."
"Kriterium 2: Risiken","Darstellung von Risiken und Nebenwirkungen: Werden mögliche Risiken, Nebenwirkungen und unerwünschte Effekte des Verfahrens/Test/Medikaments angemessen und ausreichend thematisiert?  Bewerte das Kriterium nur dann mit 'ERFÜLLT', wenn die Risiken und Nebenwirkungen mit absoluten Zahlen belegt werden."
"Kriterium 3: Evidenz","Qualität der Belege: Werden die Belege für die Wirksamkeit oder Ineffektivität des Verfahrens/Test/Medikaments umfassend, verständlich und korrekt eingeordnet? Bewerte das Kriterium nur dann mit 'ERFÜLLT', wenn Informationen zu Studiendesign, Teilnehmerzahl und Einschränkungen der Ergebnisse genannt werden."
"Kriterium 4: Experten/Interessenkonflikt(e)","Experteneinordnung: Wird das Verfahren/Test/Medikament durch unabhängige Experten eingeordnet? Bewerte das Kriterium nur dann mit 'ERFÜLLT', wenn Experten zu Wort kommen, die nicht selbst an der Forschung mitgewirkt haben oder (für den Fall, dass nur Experten zu Wort kommen, die an der Forschung beteiligt waren) wenn der somit bestehende Interessenkonflikt angesprochen wird."
"Kriterium 5: Mehr als Pressemitteilung","Unabhängigkeit der Berichterstattung: Geht die Berichterstattung über die Wiedergabe von Pressemitteilungen hinaus? Bewerte das Kriterium nur dann mit 'ERFÜLLT', wenn Anzeichen von Eigenrecherche erkennbar sind und der Text zusätzliche relevante Informationen liefert."
"Kriterium 6: Neuheit eingeordnet","Einordnung der Neuigkeit: Wird deutlich, wie alt oder neu das Verfahren/Test/Medikament ist und in welchem Entwicklungsstadium es sich befindet?"
"Kriterium 7: Alternativen","Darstellung von Alternativen: Werden Alternativen zum Verfahren/Test/Medikament, einschließlich anderer Präventionsmaßnahmen, angemessen erwähnt und eingeordnet?"
"Kriterium 8: Verfügbarkeit","Verfügbarkeit: Wird die Verfügbarkeit des Verfahrens/Test/Medikaments angemessen und klar erklärt, einschließlich Informationen zur Zulassung und weltweiten Verfügbarkeit?"
"Kriterium 9: Kosten","Kosten: Werden die Kosten des Verfahrens/Test/Medikaments angemessen thematisiert, einschließlich Informationen über Kostenträger und mögliche Investitionen in die Entwicklung?"
"Kriterium 10: Keine Krankheitsübertreibung","Darstellung der Erkrankung: Wird die Erkrankung, für die das Verfahren/Test/Medikament vorgesehen ist, angemessen, verständlich und ohne Übertreibung dargestellt?"
